3640	0.546875
3638	14.0
3639	0.7222222222222222
3630	26.0
3631	0.07555555555555556
3632	4.75
3633	5.8
3634	5.5
3635	17.0
3636	1.368421052631579
3637	0.6511627906976745
3650	0.2545454545454545
3651	0.18666666666666668
3649	13.0
1	0.0032550181529858533
2	0.008347655290940338
3	2.59000259000259E-4
4	0.025755879059350503
5	0.019875070982396367
6	1.6760073417297213E-4
7	0.16494845360824742
8	0.02431222008957134
3641	23.0
9	2.030155232601322E-4
3642	0.1
3643	3.5
3644	2.625
3645	4.666666666666667
3646	0.36363636363636365
3647	0.38095238095238093
3648	17.0
3660	0.7
3661	2.25
3662	16.0
3652	0.5555555555555556
3653	7.333333333333333
3654	0.23958333333333334
3655	22.0
3656	0.226890756302521
3657	0.4246575342465753
3658	1.368421052631579
3659	0.1694915254237288
3670	0.3253012048192771
3671	15.0
3672	4.0
3673	0.22935779816513763
3663	0.6744186046511628
3664	1.4
3665	2.5
3666	0.2553191489361702
3667	1.5714285714285714
3668	0.24050632911392406
3669	0.21739130434782608
3680	6.25
3681	8.0
3682	1.15
3683	0.11560693641618497
3684	1.0416666666666667
128710	156.0
128708	152.0
128709	483.0
3674	8.0
128700	103.0
3675	1.1764705882352942
128701	21.0
3676	1.2941176470588236
128702	18.0
3677	24.0
128703	49.0
3678	0.12962962962962962
128704	65.0
3679	0.10550458715596331
128705	123.0
128706	40.0
128707	295.0
3690	0.475
3691	0.39705882352941174
3692	18.0
3693	30.0
3694	28.0
3695	23.0
3685	0.05747126436781609
3686	1.5238095238095237
3687	3.7142857142857144
3688	27.0
3689	1.7058823529411764
3696	0.6041666666666666
3697	17.0
3698	0.20754716981132076
3699	0.75
128750	29.0
128751	48.0
128752	53.0
128753	30.0
128754	34.0
114103	63.0
114104	28.0
114105	59.0
114106	23.0
114107	45.0
114108	23.0
114109	20.0
36407	18.0
36408	44.0
36409	36.0
114110	22.0
114111	22.0
114112	38.0
114113	43.0
128744	20.0
36400	30.0
128745	816.0
36401	17.666666666666668
128746	19.0
36402	13.0
128747	145.0
36403	22.0
128748	54.0
36404	2.5
128749	28.0
36405	7.75
36406	105.0
128740	112.0
128741	78.0
128742	28.0
128743	12.5
114100	25.0
114101	36.0
114102	23.0
128733	16.0
128734	11.0
128735	42.0
128736	43.0
128737	140.0
128738	31.0
128739	178.0
128730	8.0
128731	15.5
128732	41.0
128722	15.0
128723	29.0
128724	101.0
128725	29.0
128726	12.5
128727	280.0
128728	138.0
128729	15.5
128720	31.0
128721	28.0
128719	185.0
128711	63.0
128712	27.0
128713	64.0
128714	38.0
128715	36.0
128716	387.0
128717	29.0
128718	36.0
128791	29.0
128792	161.0
128793	28.0
128794	32.0
128795	52.0
128796	27.0
128797	30.0
128798	966.0
114147	22.0
114148	17.0
